,node1,n1_isTP1_dnb,n1_isTP2_dnb,node2,n2_isTP1_dnb,n2_isTP2_dnb,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
NAPA_SPTBN2,NAPA,,1,SPTBN2,,,,,,1,,,,,,,,1
CDK1_PRKACB,CDK1,1,,PRKACB,1,,,,,1,,,,,,,1,1
A2M_MMP9,A2M,,,MMP9,,,,,,1,,,,1,1,1,1,1
BCAR1_PXN,BCAR1,1,,PXN,1,,,,,1,,,,,,,,
HSPA4_HSPA6,HSPA4,,1,HSPA6,,1,,,,1,,1,,1,,1,,
FBXO17_FBXW5,FBXO17,,1,FBXW5,,1,,,,1,,1,,,,,,
BRCA1_MND1,BRCA1,1,1,MND1,,,,,,1,,,,1,,,,
EXOSC1_WDR43,EXOSC1,,,WDR43,,,,,,1,,,,,,,,
HIST1H2BD_RNF168,HIST1H2BD,1,,RNF168,,,,,,1,,1,,1,,1,1,
BUB3_ZWINT,BUB3,1,1,ZWINT,,,,,,1,1,,,,,,,
BAX_BID,BAX,,,BID,1,,,,,1,,1,,1,,,,
EDN1_GNAS,EDN1,1,,GNAS,,,,,,1,1,,,,,,,
A2M_ACTN1,A2M,,,ACTN1,1,1,,,,1,,,,1,1,1,1,1
CCNA2_HDAC1,CCNA2,1,,HDAC1,1,1,,,,1,,,1,,,,,
SLC16A1_SLC16A3,SLC16A1,,,SLC16A3,,,,,,1,1,,,,,,,1
TMED7_ZW10,TMED7,,,ZW10,,1,,,,1,,,1,1,,,,1
SRSF3_THOC5,SRSF3,1,,THOC5,1,,,,,1,,,,,,,,
GCC1_NSF,GCC1,,,NSF,,,,,,1,,,,1,,,,
CEP57_PLK1,CEP57,1,,PLK1,1,1,,,,1,,,,,,,,
ANAPC5_BRCC3,ANAPC5,,1,BRCC3,,1,,,,1,,,,,1,,,
MT2A_OASL,MT2A,,,OASL,,1,,,,1,,,,,,1,,1
TOP2A_TPX2,TOP2A,1,,TPX2,1,,,,,1,,,,,,,,1
BRCA1_CUL7,BRCA1,1,1,CUL7,1,,,,,1,,,,,,,,
CDC20_FBXL4,CDC20,1,,FBXL4,1,1,,,,1,,,,,,,1,
LIG1_POLR2E,LIG1,1,,POLR2E,,1,,,,1,,,,,,,,
AARS_FARSB,AARS,,,FARSB,,,,,,1,,,1,1,,,1,
DCLRE1A_FANCE,DCLRE1A,,,FANCE,,,,,,1,,,,,,,,1
ESRP1_NCBP2,ESRP1,,,NCBP2,1,1,,,,1,1,,,,,,,
EIF1AX_RPL9,EIF1AX,,,RPL9,,1,,,,1,,,,,,,,
EIF4A1_RPSA,EIF4A1,,1,RPSA,1,1,,,,1,,,,1,,,1,
TGFB1_TGFBR2,TGFB1,,1,TGFBR2,,,,,,1,1,,,1,,,,
BUB1B_PPP1CC,BUB1B,1,1,PPP1CC,1,1,,,,1,,,,1,,,,
NUP37_SRRM1,NUP37,,,SRRM1,,1,,,,1,,1,,,,,,1
MSH6_NHEJ1,MSH6,,,NHEJ1,1,,,,,1,,1,,,,,,
AKT1_CAV1,AKT1,1,,CAV1,1,,,,,1,,,,,,,1,1
EFEMP1_MFAP2,EFEMP1,,,MFAP2,1,,,,,1,1,1,1,1,,1,1,1
NDC1_POLDIP3,NDC1,1,,POLDIP3,,,,,,1,,,,,,,,
CCT2_MKKS,CCT2,,1,MKKS,,,,,,1,,,,,,,,
CDC20_PPP2R1A,CDC20,1,,PPP2R1A,,1,,,,1,,,,,,,,
CYP3A5_GSTP1,CYP3A5,,,GSTP1,,,,,,1,1,1,1,,,,,
APEX1_LIG1,APEX1,1,,LIG1,1,,,,,1,,,,,,,,
TGFB1_VWF,TGFB1,,1,VWF,,1,,,,1,,1,1,1,1,1,,1
ADCY3_PRKAR1A,ADCY3,1,1,PRKAR1A,1,1,,,,1,,,,1,,,,
CTNNB1_MMP9,CTNNB1,,1,MMP9,,,,,,,1,1,,,,,1,1
AKT1_PTGES3,AKT1,1,,PTGES3,1,,,,,,1,1,,,,,1,1
HNRNPF_YBX1,HNRNPF,1,,YBX1,1,1,,,,,1,1,,,,,,
CASP7_E2F3,CASP7,,,E2F3,1,,,,,,1,,,,,,,
CHAF1A_CHAF1B,CHAF1A,1,,CHAF1B,,,,,,,1,,,,,,,
MAP3K7_MAP4K4,MAP3K7,1,1,MAP4K4,,,,,,,1,,,,,,,
CENPE_KNL1,CENPE,1,,KNL1,1,1,,,,,1,,,,,,,
SMPD1_TNFRSF1A,SMPD1,,1,TNFRSF1A,,,,,,,1,,,,,,,1
PPP2R5D_PPP2R5E,PPP2R5D,,,PPP2R5E,1,,,,,,1,,,,,,,
SNRPN_SRSF7,SNRPN,,1,SRSF7,1,,,,,,1,,,,,,,
CYP2J2_PLA2G2F,CYP2J2,,1,PLA2G2F,,1,,,,,1,1,,1,,1,1,1
HNRNPF_SNRPG,HNRNPF,1,,SNRPG,1,,,,,,1,1,,,,,,
ACER1_PLPP2,ACER1,,,PLPP2,,,,,,,1,,,,,,,1
GYG1_PYGL,GYG1,,,PYGL,,,,,,,1,,,,,,,
DHX37_NOB1,DHX37,1,,NOB1,1,,,,,,1,,,,,,,
ADSS_GOT2,ADSS,,,GOT2,,,,,,,1,,,,,,,
SMURF1_UBE2R2,SMURF1,1,,UBE2R2,,1,,,,,1,,,,,,1,
HNRNPU_LSM3,HNRNPU,1,,LSM3,,,,,,,1,,,,,,,
NAT10_UTP20,NAT10,1,,UTP20,1,,,,,,1,,,1,,,,
DLGAP5_NDC80,DLGAP5,1,,NDC80,1,,,,,,1,,,1,,,,1
GTF2B_NF1,GTF2B,,,NF1,1,,,,,,1,,,,,,,
CCNA2_PLK4,CCNA2,1,,PLK4,,1,,,,,1,,,,,,,
PWP1_TSR1,PWP1,,,TSR1,1,,,,,,1,,,,,,,
HDAC1_TCF7L1,HDAC1,1,1,TCF7L1,,,,,,,1,1,1,1,,,,1
NCAPG_SMC4,NCAPG,1,,SMC4,,,,,,,1,,,,,1,,
GNA15_PLCB3,GNA15,,1,PLCB3,,1,,,,,1,1,,,,,,
GAS6_SERPINA3,GAS6,,,SERPINA3,,,,,,,1,1,1,1,1,1,1,1
EDN1_RAC1,EDN1,1,,RAC1,1,1,,,,,1,,,,,,,
EPN1_LDLRAP1,EPN1,,1,LDLRAP1,,,,,,,1,,,1,,,,
DTX3L_HERC3,DTX3L,,,HERC3,,,,,,,1,,,1,,,,1
INPP5K_ITPKC,INPP5K,,,ITPKC,,1,,,,,1,1,1,1,1,1,,
BRCA1_CDC16,BRCA1,1,1,CDC16,1,1,,,,,1,1,,,,,,
POLR3C_POLR3H,POLR3C,,,POLR3H,1,,,,,,1,,,1,,,,
CDC27_RBCK1,CDC27,1,,RBCK1,1,,,,,,1,,1,1,,,,
MAPK13_NCK1,MAPK13,,1,NCK1,1,1,,,,,1,,,,,,,
CCND2_CDK6,CCND2,1,,CDK6,1,,,,,,1,,,,,,,1
P2RY2_PTAFR,P2RY2,1,,PTAFR,1,,,,,,1,1,,,,,,
NOB1_RPS2,NOB1,1,,RPS2,1,1,,,,,1,,,,,,,
IFIH1_MX1,IFIH1,,,MX1,,,,,,,1,,,,,,,
SLC3A2_SLC7A11,SLC3A2,,,SLC7A11,,,,,,,1,,,,,,,
CENPE_SKA1,CENPE,1,,SKA1,,,,,,,1,,,,,,,1
ARF1_HIP1R,ARF1,1,1,HIP1R,,,,,,,1,1,,,,1,,
PLAU_TFDP1,PLAU,,,TFDP1,1,,,,,,1,,,,,,,
GNB4_MAPK3,GNB4,,,MAPK3,,1,,,,,1,,,,,,1,1
AK9_PDE7A,AK9,,,PDE7A,,,,,,,1,,,,,,,
AKT1_PML,AKT1,1,,PML,,,,,,,1,1,,,,,,
BDKRB1_NPB,BDKRB1,,,NPB,,,,,,,1,,1,1,,,,
CPSF3_HNRNPU,CPSF3,1,1,HNRNPU,1,,,,,,1,1,,,,,,
CPSF3_POLDIP3,CPSF3,1,1,POLDIP3,,,,,,,1,1,,,,,,1
KITLG_SHC1,KITLG,,,SHC1,1,,,,,,1,,,,,,1,1
MAPK3_SAA1,MAPK3,,1,SAA1,1,,,,,,1,,,,,,,1
EIF1AX_RPL35A,EIF1AX,,,RPL35A,,1,,,,,1,,,1,,,,
LAMA5_PAK6,LAMA5,,,PAK6,,,,,,,1,,,,,,,
HNRNPF_LSM3,HNRNPF,1,,LSM3,,,,,,,1,,,,,,,
PLA2G4D_PTGS1,PLA2G4D,,,PTGS1,,1,,,,,1,1,1,1,1,1,,1
RLIM_RNF19B,RLIM,,,RNF19B,1,1,,,,,1,,,,,,,
DCAF13_PELP1,DCAF13,,,PELP1,1,1,,,,,1,,,,,,,1
ACTB_ARPC2,ACTB,,1,ARPC2,,,,,,,1,,,,,,,
PSMA7_PTTG1,PSMA7,,,PTTG1,,,,,,,1,1,,,,,,
FZD1_WNT10A,FZD1,,,WNT10A,,,,,,,1,,,1,1,1,1,1
DDX56_RBM19,DDX56,1,1,RBM19,1,,,,,,1,,,1,,,,
MDC1_RNF4,MDC1,1,,RNF4,,1,,,,,1,1,,,,,,
IFT122_TTC21B,IFT122,,,TTC21B,,,,,,,1,,,,,,1,
GTF3C6_POLR3K,GTF3C6,,,POLR3K,1,,,,,,1,,,,,,,1
CENPE_KIF4A,CENPE,1,,KIF4A,1,,,,,,1,,,,,,,
NOP56_UTP14A,NOP56,1,,UTP14A,1,1,,,,,1,,,,,,,
BIRC3_CASP3,BIRC3,1,,CASP3,,1,,,,,1,,,,,,,
CAD_NOP2,CAD,1,,NOP2,1,,,,,,1,,,,,,,
ADSS_AMPD2,ADSS,,,AMPD2,,,,,,,1,,,,,,,
FZD1_FZD2,FZD1,,,FZD2,1,,,,,,1,,,,,1,1,
SAR1A_SEC24D,SAR1A,,,SEC24D,,1,,,,,1,1,,,,1,,
BUB3_NEK2,BUB3,1,1,NEK2,,,,,,,1,,,,,1,,
RPS11_RPS23,RPS11,,1,RPS23,1,1,,,,,1,,,,,,,
ATF2_MAPK3,ATF2,,,MAPK3,,1,,,,,1,,,,,,,1
CCND1_SMARCD2,CCND1,1,,SMARCD2,,,,,,,1,,,,,,,1
ADORA2B_GNB4,ADORA2B,,,GNB4,,,,,,,1,,,,,,,
CUL7_RNF4,CUL7,1,,RNF4,,1,,,,,1,1,,,,,,
CCND3_E2F3,CCND3,,,E2F3,1,,,,,,1,,,,,,,
COPB1_DYNC1H1,COPB1,,,DYNC1H1,1,1,,,,,1,,,,,,,
PJA1_TRIM37,PJA1,1,,TRIM37,,,,,,,1,,,,,,,
EDN1_GNA15,EDN1,1,,GNA15,,1,,,,,1,1,,,,,,
SARNP_THOC3,SARNP,,1,THOC3,,,,,,,1,,,1,,,,
TADA3_TAF9B,TADA3,1,1,TAF9B,,,,,,,1,,,1,,,,1
NOP14_NOP56,NOP14,1,,NOP56,1,,,,,,1,,,,,,,1
TPMT_XDH,TPMT,,,XDH,,,,,,,1,1,,,,,,
F2R_LPAR1,F2R,1,,LPAR1,,,,,,,1,1,1,,,,,1
SF3A3_SRSF7,SF3A3,,1,SRSF7,1,,,,,,1,,,,,,,
MYLIP_RNF19A,MYLIP,,,RNF19A,,,,,,,1,,,,,,,
EXT1_SDC4,EXT1,,,SDC4,,,,,,,1,1,,,,,,
MAP4K4_TNFRSF1A,MAP4K4,,,TNFRSF1A,,,,,,,1,,,,,,,
LSM3_SRSF1,LSM3,,,SRSF1,1,1,,,,,1,,,,,,,
DNAJC8_LSM3,DNAJC8,1,1,LSM3,,,,,,,1,,,1,,,,
AGPAT5_LPIN1,AGPAT5,1,,LPIN1,,,,,,,1,,,,,,,
FZD2_MAPK9,FZD2,1,,MAPK9,,,,,,,1,,,,,,,
KIF26A_KIF4A,KIF26A,,1,KIF4A,1,,,,,,1,1,,,,,,
NOB1_NOP14,NOB1,1,,NOP14,1,,,,,,1,,,1,,,,
ELAVL1_NCBP1,ELAVL1,1,,NCBP1,1,,,,,,1,,,1,,,,1
PLA2G2F_PTGS1,PLA2G2F,,1,PTGS1,,1,,,,,1,1,1,1,1,1,,1
ANAPC1_BUB3,ANAPC1,,,BUB3,1,1,,,,,1,,,,,,,
ARF1_SORT1,ARF1,1,1,SORT1,,1,,,,,1,1,,,,,,
SMAD2_TGFBR2,SMAD2,,,TGFBR2,,,,,,,1,,,,,,,
CCNB1_SMC4,CCNB1,1,1,SMC4,,,,,,,1,,,,,,,
RASAL1_RASAL3,RASAL1,,,RASAL3,,,,,,,1,,,,1,,,1
PTPN1_RHOA,PTPN1,,,RHOA,,1,,,,,1,1,,,,,,
ADIPOR2_PRKAB2,ADIPOR2,,,PRKAB2,,,,,,,1,,,,,,,1
TUBB_TUBG1,TUBB,1,,TUBG1,1,,,,,,1,1,1,,,1,,1
NOP14_TSR1,NOP14,1,,TSR1,1,,,,,,1,,,1,1,1,,
H6PD_PDHA1,H6PD,,,PDHA1,,,,,,,1,1,,,,,,1
RHOG_VAV2,RHOG,,,VAV2,,,,,,,1,,,,,,,
SNRPD2_SRSF7,SNRPD2,,,SRSF7,1,,,,,,1,,,,,,,
ETNK2_PCYT2,ETNK2,,,PCYT2,,,,,,,1,1,1,1,,,,
DUSP1_DUSP2,DUSP1,,,DUSP2,,,,,,,1,,,,,,,
ITPKC_SYNJ2,ITPKC,,1,SYNJ2,1,1,,,,,1,1,,,,,,
KMT2A_TEX10,KMT2A,,,TEX10,,,,,,,1,1,,,,,,
GSTP1_MGST3,GSTP1,,,MGST3,,,,,,,1,1,,,,,,
MAGED2_TOR4A,MAGED2,,,TOR4A,,,,,,,1,,,,,,,
ECT2_RHOG,ECT2,,,RHOG,,,,,,,1,1,,,,,,
KNL1_PDS5A,KNL1,1,1,PDS5A,,,,,,,1,,,1,,1,,1
CCT8_KIF13A,CCT8,1,,KIF13A,,,,,,,1,1,1,1,1,1,,
MRTO4_RPL5,MRTO4,1,1,RPL5,,,,,,,1,,,,,,,
LPAR3_LPAR5,LPAR3,,,LPAR5,,,,,,,1,,,,,,,
RNF4_UBE2L3,RNF4,,1,UBE2L3,1,1,,,,,1,,,,,1,,
GALNT2_GCNT1,GALNT2,,,GCNT1,,,,,,,1,1,,,,,,
ARG2_ODC1,ARG2,,,ODC1,,,,,,,1,,,,,,,
GNA15_GNB4,GNA15,,1,GNB4,,,,,,,1,1,,,,,,
NOP56_PELP1,NOP56,1,,PELP1,1,1,,,,,1,,,1,,,,1
EGFR_EPS15,EGFR,1,,EPS15,1,,,,,,1,1,,,,,,
CALML5_NOS1,CALML5,,1,NOS1,,,,,,,1,,,1,,,,
ITGA4_SRC,ITGA4,,1,SRC,1,1,,,,,1,1,,,,,,
FBXO2_FBXO22,FBXO2,,1,FBXO22,,,,,,,1,,,1,,,,
UBE2R2_WSB1,UBE2R2,,1,WSB1,,,,,,,1,,,,,1,,1
ACADM_PCCA,ACADM,,,PCCA,,,,,,,1,1,1,1,,,1,1
CTTN_LAMB1,CTTN,,,LAMB1,,,,,,,1,1,1,1,,1,,
AGL_GYG1,AGL,,,GYG1,,,,,,,1,1,,,,,,
DNAJC2_HSPA6,DNAJC2,,,HSPA6,,1,,,,,1,1,,1,,,,
CDK7_TCEA1,CDK7,1,,TCEA1,,,,,,,1,,,,,,,
CCND1_TFDP1,CCND1,1,,TFDP1,1,,,,,,1,,,,,,1,1
CUL3_FBXO7,CUL3,1,1,FBXO7,,1,,,,,1,,,,,,,1
COPB1_KIF2A,COPB1,,,KIF2A,1,,,,,,1,1,,,,,,
MRPL28_MRPS34,MRPL28,,1,MRPS34,,1,,,,,1,,,1,,,,1
EXOSC10_NOP56,EXOSC10,,,NOP56,1,,,,,,1,,,1,,,,
NOP56_SSB,NOP56,1,,SSB,,,,,,,1,,,1,,,,
CASP7_TFDP1,CASP7,,,TFDP1,1,,,,,,1,,,,,,,
LSM4_SRSF7,LSM4,,1,SRSF7,1,,,,,,1,,,1,,,,
CD74_HLA-DOB,CD74,,,HLA-DOB,,,,,,,1,,1,,,,,
SRF_VCL,SRF,,,VCL,,1,,,,,1,,,,,,,
ARPC2_SH3GL1,ARPC2,,,SH3GL1,,,,,,,1,1,,,,,,
ARF1_ARFGAP3,ARF1,1,1,ARFGAP3,,,,,,,1,1,,,,,,
RPL5_RPS9,RPL5,,,RPS9,1,1,,,,,1,1,,,,,,
PLK1_PLK4,PLK1,1,1,PLK4,,1,,,,,1,,,,,,,
ITGA2_ITGB8,ITGA2,,,ITGB8,,,,,,,1,,,,,,,
PPIB_SDC1,PPIB,,,SDC1,,,,,,,1,,,,,1,,
PSMB1_RPS27A,PSMB1,,1,RPS27A,1,1,,,,,1,,,1,,,,
RPS24_RPS6,RPS24,,1,RPS6,1,1,,,,,1,,,,,,,
ARF1_KIF20B,ARF1,1,1,KIF20B,,,,,,,1,1,,1,,,1,1
FBXL18_SMURF1,FBXL18,,,SMURF1,1,,,,,,1,,,,,,,
PLA2G4B_PTGS1,PLA2G4B,,,PTGS1,,1,,,,,1,1,,,,,,
BSG_SDC1,BSG,,,SDC1,,,,,,,1,,,,,,,1
BID_TNFRSF10A,BID,1,,TNFRSF10A,,,,,,,1,1,,,,,,
CALML5_ITPR3,CALML5,,1,ITPR3,,1,,,,,1,,,1,,,,
ARG1_ATF2,ARG1,,,ATF2,,,,,,,1,,,,,,,
COL18A1_ESR1,COL18A1,1,1,ESR1,1,1,,,,,1,,,1,,,,
CPSF3_HNRNPA2B1,CPSF3,1,1,HNRNPA2B1,,1,,,,,1,1,,,,,,
FBL_RRS1,FBL,1,1,RRS1,1,,,,,,1,1,,1,,,,
CAPN2_ITGB1,CAPN2,,,ITGB1,,1,,,,,1,1,,,,,,
FBXL4_ZBTB16,FBXL4,1,1,ZBTB16,1,1,,,,,1,1,,,,,,1
COL18A1_COL4A2,COL18A1,1,1,COL4A2,,1,,,,,1,,,,1,1,1,1
SRC_TNC,SRC,1,1,TNC,,,,,,,1,1,,,1,,,
SNAP47_STX4,SNAP47,,,STX4,,1,,,,,1,1,,,,,,
HK2_SORD,HK2,,,SORD,,,,,,,1,,,,,,,
MRPL23_MRPS12,MRPL23,,1,MRPS12,1,1,,,,,1,,,,,,,
ADAM15_ITGB1,ADAM15,,,ITGB1,,1,,,,,1,,,,,,,
BUB3_XPO1,BUB3,1,1,XPO1,1,,,,,,1,1,1,1,1,,,
CTSC_SEC24D,CTSC,,1,SEC24D,,1,,,,,1,,,,,,,1
BUB3_CDK1,BUB3,1,1,CDK1,1,,,,,,1,,,,,1,,
CNTN1_CNTNAP1,CNTN1,,,CNTNAP1,,,,,,,1,,,,,,,1
ITPKC_PLCD1,ITPKC,,1,PLCD1,,,,,,,1,1,,,,,,
ARPC2_EGFR,ARPC2,,,EGFR,1,,,,,,1,1,,,,,,
NIFK_NOP9,NIFK,1,,NOP9,1,,,,,,1,1,1,1,,,1,1
ECT2_KIF23,ECT2,,,KIF23,,,,,,,1,1,,,,,,
SCNN1G_SGK1,SCNN1G,,,SGK1,,,,,,,1,,,,,,,1
FCF1_TSR1,FCF1,1,,TSR1,1,,,,,,1,1,,,,,,
LYN_VAV2,LYN,1,1,VAV2,,,,,,,1,,,,,,1,
INSIG1_INSIG2,INSIG1,,,INSIG2,,,,,,,1,,1,1,,1,,1
MYD88_NFKB1,MYD88,1,,NFKB1,,1,,,,,1,1,,,,,1,
AP2M1_LDLR,AP2M1,,,LDLR,,,,,,,1,,,,,,,
ADH7_ALDH1A3,ADH7,,,ALDH1A3,1,,,,,,1,,,1,,,,
CSNK1D_SEC24D,CSNK1D,1,,SEC24D,,1,,,,,1,1,,,,,,
PPP2R5D_PSMD12,PPP2R5D,,,PSMD12,,1,,,,,1,1,,1,1,,,
KMT2A_WDR5,KMT2A,,,WDR5,1,1,,,,,1,,,,,,,
RPL5_RPLP0,RPL5,,,RPLP0,,1,,,,,1,,,,,,,
BMPR2_SMAD4,BMPR2,,,SMAD4,,,,,,,1,,,,,,1,1
NFKB1_TNFRSF1A,NFKB1,,1,TNFRSF1A,,,,,,,1,,,,,,,
FBL_NIFK,FBL,1,1,NIFK,1,,,,,,1,1,1,,,,1,1
ITGA4_PRKACB,ITGA4,,1,PRKACB,1,,,,,,1,1,,1,,,1,1
ITGA3_LAMA5,ITGA3,,,LAMA5,,,,,,,1,,,,,,,
DDB1_POLD2,DDB1,,,POLD2,1,1,,,,,1,,,,,,,
ENTPD6_PKM,ENTPD6,1,,PKM,,,,,,,1,,,,,,,
SERPINE1_VWF,SERPINE1,1,1,VWF,,1,,,,,1,1,1,1,1,1,1,1
SNRPE_SRSF7,SNRPE,,,SRSF7,1,,,,,,1,,,,,,,
ALOX12_ALOX12B,ALOX12,,,ALOX12B,,,,,,,1,1,1,1,,,1,1
STX2_STX6,STX2,,,STX6,,,,,,,1,,,,,,,1
PUM3_RBM19,PUM3,1,1,RBM19,1,,,,,,1,,,,,,,
SEC16A_SEC24D,SEC16A,1,1,SEC24D,,1,,,,,1,,,1,,,,
KLHL5_KLHL9,KLHL5,1,1,KLHL9,1,,,,,,1,,,,,,,
FN1_SELENOP,FN1,,,SELENOP,,,,,,,1,1,,1,,,,1
LAMA5_PAK2,LAMA5,,,PAK2,1,,,,,,1,,,,,,,
CUL7_ZBTB16,CUL7,1,,ZBTB16,1,1,,,,,1,1,,,,1,,
PSMB6_PSMC3,PSMB6,,,PSMC3,,,,,,,1,,,,,,,
MAGOHB_POLR2D,MAGOHB,,1,POLR2D,1,1,,,,,1,,,1,,,,
CTNNB1_RAB5A,CTNNB1,,1,RAB5A,,1,,,,,1,1,,1,1,,1,1
F2R_PROCR,F2R,1,,PROCR,,,,,,,1,,1,1,,1,1,1
POLR2K_SRSF1,POLR2K,1,,SRSF1,1,1,,,,,1,,,,,,,
HSPG2_SNCA,HSPG2,1,,SNCA,,1,,,,,1,,,1,,1,1,1
HNRNPA0_PTBP1,HNRNPA0,,,PTBP1,,,,,,,1,,1,1,,,,
ALOX15B_PLA2G4B,ALOX15B,,,PLA2G4B,,,,,,,1,,,,,,,
ARHGDIB_RAC1,ARHGDIB,,,RAC1,1,1,,,,,1,,,,,,,1
PLAU_SERPINE1,PLAU,,,SERPINE1,1,1,,,,,1,,,,,,1,1
DDX56_FBL,DDX56,1,1,FBL,1,1,,,,,1,,,1,,,1,
CERS3_SGMS2,CERS3,,,SGMS2,,,,,,,1,,,,,,,
DHX37_PUM3,DHX37,1,,PUM3,1,1,,,,,1,,,,,,,
ATP6AP1_ATP6V1B2,ATP6AP1,,,ATP6V1B2,,,,,,,1,1,,1,,,,1
EXO1_POLD2,EXO1,,,POLD2,1,1,,,,,1,,,,,,,
CSNK1D_TUBB,CSNK1D,1,,TUBB,1,,,,,,1,1,,,,,,
ATF2_RUVBL2,ATF2,,,RUVBL2,1,1,,,,,1,,,,,,,
CD81_ITGA4,CD81,,,ITGA4,,1,,,,,1,1,,1,,,1,1
EBNA1BP2_NOP56,EBNA1BP2,1,,NOP56,1,,,,,,1,,,,,,,
CAV1_PTPN1,CAV1,1,,PTPN1,,,,,,,1,1,,,,,,
GNL3L_PDCD11,GNL3L,,,PDCD11,1,,,,,,1,,,,,,,
TGFBR2_UCHL5,TGFBR2,,,UCHL5,,,,,,,1,,,,,,,
MRPS34_TUFM,MRPS34,,1,TUFM,,1,,,,,1,,,,,,,
KPNA2_RCC1,KPNA2,,,RCC1,,,,,,,1,,,,,1,,
HNRNPA1_SNRPB2,HNRNPA1,1,1,SNRPB2,,1,,,,,1,,,1,,,,
CAT_KYNU,CAT,,,KYNU,,,,,,,1,,,,,,,
NOB1_RPSA,NOB1,1,,RPSA,1,1,,,,,1,,,,,,,
LSM3_SNRNP200,LSM3,,,SNRNP200,1,1,,,,,1,,,,,,,
CUL3_FBXL4,CUL3,1,1,FBXL4,1,1,,,,,1,,,,,,,
SSRP1_TCEA1,SSRP1,,,TCEA1,,,,,,,1,,,,,,,
NOP2_RRP1B,NOP2,1,,RRP1B,1,,,,,,1,,,,,,,
PLA2G4B_PLA2G7,PLA2G4B,,,PLA2G7,,,,,,,1,1,,,,,,1
CAPN2_CAPNS1,CAPN2,,,CAPNS1,,,,,,,1,1,,1,,1,,1
ARF1_RAB1B,ARF1,1,1,RAB1B,1,1,,,,,1,1,,1,,,,1
PLA2G4B_PTDSS2,PLA2G4B,,,PTDSS2,,1,,,,,1,,,1,,,,
FBXL12_FBXL4,FBXL12,,,FBXL4,1,1,,,,,1,,,,,,,
PRKACB_TULP3,PRKACB,1,,TULP3,,,,,,,1,1,,,,,,1
EXOSC10_PWP2,EXOSC10,,,PWP2,1,1,,,,,1,,,1,,,,
GBP2_PML,GBP2,,,PML,,,,,,,1,1,,,,,,
EFL1_RPS2,EFL1,,1,RPS2,1,1,,,,,1,,,1,1,1,1,1
NET1_RHOBTB2,NET1,,,RHOBTB2,,,,,,,1,,,,,,,1
ANAPC15_ANAPC5,ANAPC15,,,ANAPC5,,1,,,,,1,,1,1,1,,,1
CD44_IFI30,CD44,,,IFI30,,,,,,,1,,,,,,,
GPX8_GSTP1,GPX8,,,GSTP1,,,,,,,1,,,,,,,1
NOL6_PELP1,NOL6,1,,PELP1,1,1,,,,,1,,,1,,1,,
FBXO22_HERC4,FBXO22,,,HERC4,1,,,,,,1,1,,,,,,
GBP2_HLA-G,GBP2,,,HLA-G,,,,,,,1,,,,,,,
LPIN1_PLPP2,LPIN1,,,PLPP2,,,,,,,1,,,1,,,,1
F2R_LPAR2,F2R,1,,LPAR2,,1,,,,,1,,1,,,1,,
NOP58_TSR1,NOP58,1,,TSR1,1,,,,,,1,,,,,,,
FBXO22_TRIM37,FBXO22,,,TRIM37,,,,,,,1,1,,,,,,
IMP4_TSR1,IMP4,1,,TSR1,1,,,,,,1,,,,,,,1
PNP_TK1,PNP,1,,TK1,,,,,,,1,1,,,,,1,
RPS15A_TPT1,RPS15A,,1,TPT1,,1,,,,,1,,,,,,,
ECM1_IGF2,ECM1,,,IGF2,,,,,,,1,,,,1,,,
AKR1B1_GALM,AKR1B1,,,GALM,,,,,,,1,,,1,,1,,1
DDX39A_NXT1,DDX39A,,,NXT1,,,,,,,1,,,,,,,
FBXO22_RNF114,FBXO22,,,RNF114,,,,,,,1,,,,,1,,
SRSF1_THOC3,SRSF1,1,1,THOC3,,,,,,,1,,,1,,,,
AGRN_SDC1,AGRN,,,SDC1,,,,,,,1,1,,,,,,
ANAPC11_PSME2,ANAPC11,,1,PSME2,,,,,,,1,1,1,,,1,,
EBNA1BP2_NIFK,EBNA1BP2,1,,NIFK,1,,,,,,1,1,1,1,,,1,1
ITPR3_STX1A,ITPR3,,1,STX1A,1,,,,,,1,,,,,,,
RAB5A_RAB5C,RAB5A,,1,RAB5C,1,,,,,,1,1,,,,,1,1
EDNRA_EGFR,EDNRA,1,,EGFR,1,,,,,,1,1,,,,1,,
CDC20_FBXO17,CDC20,1,,FBXO17,,1,,,,,1,,,1,,,,1
CAPN1_PTPN1,CAPN1,,,PTPN1,,,,,,,1,1,,,,,,
ADSS_NT5E,ADSS,,,NT5E,,,,,,,1,,,,,,,1
RPS29_SSR4,RPS29,,1,SSR4,,,,,,,1,,,,,,,
BIN1_EPN1,BIN1,,1,EPN1,,1,,,,,1,1,,1,,,,
EGFR_NRAS,EGFR,1,,NRAS,1,1,,,,,1,1,,1,,,,
RRP12_UTP14A,RRP12,1,,UTP14A,1,1,,,,,1,1,,,,,,
ADSS_HPRT1,ADSS,,,HPRT1,,,,,,,1,,,1,,,,
KLHL9_UBR1,KLHL9,1,,UBR1,,,,,,,1,,,,,,,
ITGAM_PLAU,ITGAM,,,PLAU,,,,,,,1,,,,,,,
FBL_NOP2,FBL,1,1,NOP2,1,,,,,,1,,,,,,,
SDC1_TNC,SDC1,,,TNC,,,,,,,1,,,,,,,
